id_dep,Libellé département,id_circo,Libellé circonscription législative,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",% Voix/exprimés 13,"0,41%"
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",% Voix/exprimés 13,"0,49%"
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",% Voix/exprimés 13,"0,35%"
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",% Voix/exprimés 13,"0,15%"
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",% Voix/exprimés 13,"0,23%"
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",% Voix/exprimés 13,"0,43%"
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",% Voix/exprimés 13,"0,32%"
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",% Voix/exprimés 13,"0,33%"
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Sièges 13,0
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Sièges 13,0
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",Sièges 13,0
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",Sièges 13,0
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",Sièges 13,0
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",Sièges 13,0
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",Sièges 13,0
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",Sièges 13,0
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",Sièges 13,0
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",Sièges 13,0
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",Sièges 13,0
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",Sièges 13,0
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Numéro de panneau 14,14
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Numéro de panneau 14,14
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",Numéro de panneau 14,14
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",Numéro de panneau 14,14
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",Numéro de panneau 14,14
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",Numéro de panneau 14,14
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",Numéro de panneau 14,14
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",Numéro de panneau 14,14
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",Numéro de panneau 14,14
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",Numéro de panneau 14,14
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",Numéro de panneau 14,14
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",Numéro de panneau 14,14
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Nuance liste 14,LECO
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Nuance liste 14,LECO
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",Nuance liste 14,LECO
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",Nuance liste 14,LECO
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",Nuance liste 14,LECO
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",Nuance liste 14,LECO
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",Nuance liste 14,LECO
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",Nuance liste 14,LECO
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",Nuance liste 14,LECO
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",Nuance liste 14,LECO
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",Nuance liste 14,LECO
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",Nuance liste 14,LECO
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",Libellé abrégé de liste 14,ECOLOGIE POSITIVE
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Voix 14,256
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Voix 14,282
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",Voix 14,191
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",Voix 14,237
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",Voix 14,174
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",Voix 14,223
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",Voix 14,236
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",Voix 14,144
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",Voix 14,224
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",Voix 14,266
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",Voix 14,164
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",Voix 14,222
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",% Voix/inscrits 14,"0,30%"
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",% Voix/inscrits 14,"0,32%"
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",% Voix/inscrits 14,"0,23%"
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",% Voix/inscrits 14,"0,29%"
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",% Voix/inscrits 14,"0,22%"
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",% Voix/inscrits 14,"0,29%"
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",% Voix/inscrits 14,"0,29%"
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",% Voix/inscrits 14,"0,19%"
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",% Voix/inscrits 14,"0,24%"
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",% Voix/inscrits 14,"0,29%"
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",% Voix/inscrits 14,"0,23%"
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",% Voix/inscrits 14,"0,30%"
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",% Voix/exprimés 14,"0,51%"
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",% Voix/exprimés 14,"0,53%"
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",% Voix/exprimés 14,"0,38%"
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",% Voix/exprimés 14,"0,50%"
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",% Voix/exprimés 14,"0,40%"
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",% Voix/exprimés 14,"0,53%"
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",% Voix/exprimés 14,"0,56%"
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",% Voix/exprimés 14,"0,43%"
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",% Voix/exprimés 14,"0,46%"
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",% Voix/exprimés 14,"0,49%"
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",% Voix/exprimés 14,"0,46%"
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",% Voix/exprimés 14,"0,56%"
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Sièges 14,0
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Sièges 14,0
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",Sièges 14,0
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",Sièges 14,0
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",Sièges 14,0
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",Sièges 14,0
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",Sièges 14,0
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",Sièges 14,0
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",Sièges 14,0
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",Sièges 14,0
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",Sièges 14,0
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",Sièges 14,0
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Numéro de panneau 15,15
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Numéro de panneau 15,15
78,Yvelines,78003,3ème circonscription,84458,50654,"59,98%",33804,"40,02%",50012,"59,22%","98,73%",350,"0,41%","0,69%",292,"0,35%","0,58%",Numéro de panneau 15,15
78,Yvelines,78004,4ème circonscription,81598,48126,"58,98%",33472,"41,02%",47495,"58,21%","98,69%",375,"0,46%","0,78%",256,"0,31%","0,53%",Numéro de panneau 15,15
78,Yvelines,78005,5ème circonscription,77477,44159,"57,00%",33318,"43,00%",43546,"56,21%","98,61%",315,"0,41%","0,71%",298,"0,38%","0,67%",Numéro de panneau 15,15
78,Yvelines,78006,6ème circonscription,78192,42954,"54,93%",35238,"45,07%",42331,"54,14%","98,55%",328,"0,42%","0,76%",295,"0,38%","0,69%",Numéro de panneau 15,15
78,Yvelines,78007,7ème circonscription,82256,43061,"52,35%",39195,"47,65%",42260,"51,38%","98,14%",466,"0,57%","1,08%",335,"0,41%","0,78%",Numéro de panneau 15,15
78,Yvelines,78008,8ème circonscription,75913,34540,"45,50%",41373,"54,50%",33711,"44,41%","97,60%",444,"0,58%","1,29%",385,"0,51%","1,11%",Numéro de panneau 15,15
78,Yvelines,78009,9ème circonscription,94922,49472,"52,12%",45450,"47,88%",48368,"50,96%","97,77%",584,"0,62%","1,18%",520,"0,55%","1,05%",Numéro de panneau 15,15
78,Yvelines,78010,10ème circonscription,93105,54902,"58,97%",38203,"41,03%",53901,"57,89%","98,18%",529,"0,57%","0,96%",472,"0,51%","0,86%",Numéro de panneau 15,15
78,Yvelines,78011,11ème circonscription,71218,36172,"50,79%",35046,"49,21%",35464,"49,80%","98,04%",373,"0,52%","1,03%",335,"0,47%","0,93%",Numéro de panneau 15,15
78,Yvelines,78012,12ème circonscription,72855,40703,"55,87%",32152,"44,13%",39943,"54,83%","98,13%",413,"0,57%","1,01%",347,"0,48%","0,85%",Numéro de panneau 15,15
78,Yvelines,78001,1ère circonscription,84495,50684,"59,98%",33811,"40,02%",50076,"59,27%","98,80%",340,"0,40%","0,67%",268,"0,32%","0,53%",Nuance liste 15,LDIV
78,Yvelines,78002,2ème circonscription,87791,54356,"61,92%",33435,"38,08%",53605,"61,06%","98,62%",441,"0,50%","0,81%",310,"0,35%","0,57%",Nuance liste 15,LDIV
